,reviewTitle,reviewContent,rating,label,clean_teks
68,Kepuasan & Ketidakpuasan,"Saya sangat puas dengan barang.nya, kualitas barang sangat membantu HDD saya apabila jatuh dari atas, dan pengiriman rapi gk ada lecet kasih bintang 5 :) Dan Saya sangat tidak puas dengan peng",5,1,puas barang nya kualitas barang bantu hdd jatuh kirim rapi lecet kasih bintang puas peng
69,Bagus,Barang diterima dengan kondisi yang baik tapi packagingnya kurang,4,1,barang terima kondisi packagingnya
70,SESUIA DENGAN FOTO,"Suka banget sama barangnya packing nya rapi, pokoknya recomended banget buat kalian yg mau beli tas hardisk dengan kulitas bagus yah di sini",5,1,suka banget barang packing nya rapi pokok recomended banget beli tas hardisk kulitas bagus yah
116,GOOD,barang bagus quick respon hari ini pesan besok sudah sampai,5,1,barang bagus quick respon pesan besok
168,"barang pecah dikirim, payah ni seller","barang tanpa kemasan, tanpa pelindung apapun, hanya dus tv saja, liat dusnya sobek dikit sudah mulai curiga, kayaknya pecah ini, eeeeellllaaaa pas dibuka pecah beneran, BAD SELLER, BENER BENER BAD SELLER MAU UNTUNG AJA, tanpa peduli keadaan produk , kalo gak ada untung n pelit pakingan ya jgn jualan ....barang sudah retur , mudah mudahan barangnya cepat di kirim lg d",1,0,barang kemas lindung apa dus televisi lihat dus sobek curiga kayak pecah eeeeellllaaaa pas buka pecah beneran bad jual bener bener bad jual untung peduli produk untung n pelit paking ya jual barang retur mudah mudah barang cepat kirim d
169,Brng Utuh diterima,"Barang diterima pada hari akhir yg dijadwalkan, yaitu malam hari. Kondisi barang terlindungi dengan packing bawaan unit.  Kualitas unit adalah kualitas Sharp. Semoga awet. Bila unit ini dikirim dari gudang Lazada di Bogor, mestinya bisa lebih cpt tiba, bukan pada hari akhir yg dijadwalkan karena alamat tujuan juga di Bogor.",4,1,barang terima jadwal malam kondisi barang lindung packing bawa unit kualitas unit kualitas sharp moga awet unit kirim gudang lazada bogor mesti cepat jadwal alamat tuju bogor
170,sesuai pesanan,masukan saja.. klo bisa packingnya jangan asal.. dikasih buble wrap minimal.. ini cuma dipacking pakai plastik biasa.. sempet khawatir pecah.. tpi untung gk terjadi . ..,4,1,masuk packingnya kasih buble wrap minimal dipacking pakai plastik sempet khawatir pecah untung
173,Pengiriman,Pengiriman tidak sesuai tanggal yang tertera,2,0,kirim sesuai tanggal tera
177,tv murah,"pengiriman cepat packirng rapih harga murah, free ongkir",5,1,kirim cepat packirng rapih harga murah free ongkir
178,mantapp,mantapp barang nya sesuai pesanan,5,1,mantapp barang nya sesuai pesan
179,Parah,Jangan pernah beli disini..parah banget..barang belum sampe udh 2 mi ggu alesan nya gak jelas gangguan dll..,1,0,beli parah banget barang mi ggu alesan nya ganggu lain
180,"pengiriman lama pisan,  katanya dr kurir, pengirimannya ga pake exspres",hati hati ini tv ga bisa pake USB,1,0,hati hati televisi pakai usb
217,yuda,Sangat puas dengan produknya. Terimakasih..,3,0,puas produk terimakasih
221,Pelayanan,"Memuaskan, produk sesuai deskripsi, packing bagus, dan penerimaan produk cepat untuk saya yg berada di jkt",5,1,muas produk sesuai deskripsi packing bagus terima produk cepat jakarta
222,"Kurang puas..,","Kenapa chargernya tidak lengkap....?? G bisa langsung dipakai buat charger..., kita harus nyari dan beli lagi sambungan buat chargernya.., tolong d bantu",3,0,chargernya lengkap langsung pakai charger nyari beli sambung chargernya tolong d bantu
223,Laptop lenovo,Ini spek ram.nya 2GB atau 4GB,1,0,spek ram nya gb gb
224,FLASHDISK BEKAS WKWKWK  :D,"GAN SAYA SARANKAN UNTUK LEBIH BERHATI-HATI DALAM MEMBELI, FLASHDISK YANG DIKIRIM KE SAYA ADALAH FLASHDISK REKONDISI (DAUR ULANG BEKAS).  JANGAN TERTIPU OLEH HARGA. MAS DOSA MAS BOHONG. DI FLASHDISKNYA ADA TULISAN NAMA ""ARYO"" YANG SENGAJA DIHAPUS TP KURANG BERSIH. FILE YANG DIKIRIM KE FLASHDISK JUGA ERROR. MAKAN DUIT HARAM MAS. KENYANG TP GA BERKAH.",1,0,juragan saran hati hati beli flashdisk kirim flashdisk rekondisi daur ulang bekas tipu harga mas dosa mas bohong flashdisknya tulis nama aryo sengaja hapus bersih file kirim flashdisk error makan duit haram mas kenyang berkah
225,Sering corrupt,"Barang cepat sampainya. Kualitas FD kurang bagus, file yang di copy sering corrupt.",2,0,barang cepat sampai kualitas fd bagus file copy corrupt
228,VERY NICE,VERY GOOD,5,1,very good
229,barang kw,"korup terus klo di copy ke fd,mengecewakan",1,0,korup copy fd kecewa
231,TOP BGT,"hardisknya keren, pelindungnya kokoh , udah ada aplikasi transcend elitenya di dalam untuk enkripsi thanks seller and lazada",5,1,hardisknya keren lindung kokoh aplikasi transcend elite enkripsi terimakasih jual and lazada
232,Barang sudah mendarat dengan selamat,"Sampainya agak lama tapi puas, packing rapi dan pas dateng warnanya biru seneng banget gan hehe. Top deh semoga awet barangnya",4,1,sampai puas packing rapi pas warna biru senang banget juragan hehe top deh moga awet barang
233,Bagus,"Trims Lazada & reseller, , barang sdh saya terima senin siang, penigiriman sesuai dengan yg di informasikan.",5,1,trims lazada reseller barang terima senin siang penigiriman sesuai informasi
234,bagus,sesuai spek yg saya mau.. jd oke lah,5,1,sesuai spek oke
235,Rekomended,barangnya bagus.  rapi tidak mengecewakan.  akan tetapi bagus kalau ada Bonus pouch nya.  hehhe,5,1,barang bagus rapi kecewa bagus bonus pouch nya hehhe
246,mantap,"flashdisknya sudah diterima dengan baik. kapasitas total 58,544,586,752 bytes dengan FAT32. menjadi 62,885,724,160 bytes kalau diformat dengan exFAT. write speed 10MB/s dan read 30 MB/s dengan port USB 2.0, belum dicoba dengan port usb 3.0.",5,1,flashdisknya terima kapasitas total bytes fat bytes format exfat write speed mbak s read mbak s port usb coba port usb
248,Oke,"Barang sudah diterima dgn baik. Packing rapih. Tp isinya cuma 58GB. Selebihnya, oke",5,1,barang terima packing rapih isi gb lebih oke
249,recommended,pas cocok buat anda semua. bgus. sesuai deskripsi.,5,1,pas cocok bgus sesuai deskripsi
260,ok banget,"flashdisk 64gb casing metal, baguss",5,1,flashdisk gb casing metal baguss
272,express,dikirim hari berikutnya dan barang mulus,4,1,kirim barang mulus
290,RAM?,ram 8gb atau 4gb?,2,0,ram gb gb
291,TV LED dengan beragam input!,"TV LED dengan pilihan input yang lengkap (HDMI, DV, VGA). Kami beli untuk keperluan kantor yang penggunaannya bisa multi-source. Panasonic satu-satunya merk yang menyediakan fasilitas ini (sepanjang pengetahuan kami). Kualitas gambar juga bagus, dengan bezel tipis yang memberikan kesan ""lega"" ... extra bracket memudahkan pemasangan di dinding. Bravo Panasonic!",5,1,televisi led pilih input lengkap hdmi dv vga beli perlu kantor guna multi source panasonic satu merk sedia fasilitas tahu kualitas gambar bagus bezel tipis kesan lega extra bracket mudah pasang dinding bravo panasonic
293,Mantap,Cuma butuh waktu 12 jam unit tiba.. thks,5,1,butuh jam unit thks
294,Kalo mau cicilan gmn caranya?,Mau cicilan gmn caranya6,1,0,cicil
295,Mau nyicil dong.. proses nya susah nggak??,Nyicil dengan cara mudah prosesnya susah nggak,3,0,nyicil mudah proses susah
296,Barang mantap sesuai pesanan..,Pokonya puas..,5,1,poko puas
297,Puas bgt ^_^,"Puas bgt pengiriman sesuai jadwal, barang bagus, packing rapih buat maen game enak bgt hihii, murah lagi, tenkyu lazada",5,1,puas banget kirim sesuai jadwal barang bagus packing rapih main game enak banget hihii murah terimakasih lazada
298,Saran,Saya igin pesan tapi packingnya kalo bisa harus rapih dan aman jadi barang terlindungi. Untuk saat ini bintang 3 nanti kalo barangnya udah diterima dan bagis jadi 5 bintang,3,0,igin pesan packingnya rapih aman barang lindung bintang barang terima bagis bintang
343,Western Digital WD My Passport New Design 4TB,good Product with reasonable Price,5,1,good produk with reasonable harga
363,Good lah...,"Packing Rapi, kualitas oke, fitur2 persis seperti deskripsi, desain keren... cuma yg kurang puas di segi kecepatan transfer hanya mentok di 9-10 Mb/s",5,1,packing rapi kualitas oke fitur persis deskripsi desain keren puas segi cepat transfer mentok mbak s
364,Beda sama yg dikirimin,"Gmn nih lazada saya liat iklannya flashdisk tapi yg dikirim koq malah flashdrive,,,,mohon penjelasannya,,barang sdh saya buka.....saya br x ini kecewa",1,0,nih lazada lihat iklan flashdisk kirim koq flashdrive mohon jelas barang buka br x kecewa
365,Sipz,"Smua yang di ulasan bener smua apa mreka kata, kapasitas terbaca 29.5GB karena terpakai sistem, pengiriman lebih cepat dari extimasi",5,1,ulas bener kapasitas baca gb pakai sistem kirim cepat extimasi
366,Sandisk Flashdisk Cruzer Dial CZ57,"barang sdh diterima, pengirimannya cepat, data yg terbaca 29.1GB (iya karena space 32GB tdk terbaca 32GB full) terima kasih atas fast responnya, n barangnya ori.",5,1,barang terima kirim cepat data baca gb iya space gb baca gb full terima kasih fast responnya n barang original
369,Puas,"Cepet sampai, barang asli, bagus lah. Thanks LAZADA",5,1,cepat barang asli bagus terimakasih lazada
370,MANTABB,BARANG CEPAT CUMA 2 HARI GARANSI RESMI MANTABB,5,1,barang cepat garansi resmi mantabb
371,Mantab,"Cepet sampai 1 hari udah sampai,, barang bagus gk cepet panas walau di pake lama,, pokoknya mantab",4,1,cepat barang bagus cepat panas pakai pokok mantap
372,Bagus,Bagus. Packing rapi. Modelnya aku suka. Thanks lazada!,5,1,bagus packing rapi model suka terimakasih lazada
373,Good,"Barang bagus, pertahankan",5,1,barang bagus tahan
374,Oke,"Barangnya sudah saya terima , kondisi sangat baik  Trimakasih Lazada",4,1,barang terima kondisi trimakasih lazada
375,Oke,Produk oke dan Original by Datascrip tapi sayang kapasitas bersihnya 29GB,4,1,produk oke original by datascrip sayang kapasitas bersih gb
376,sip,"pengiriman cepet, barang bagus, transfer data lebih cepat daripada tipe Cruzer Switch",5,1,kirim cepat barang bagus transfer data cepat tipe cruzer switch
377,mantapp,produk mantap sesuai deskripsi,5,1,produk mantap sesuai deskripsi
388,good,Good,5,1,good
393,SANDISK,Produk Bagus,5,1,produk bagus
394,qualitas barang,barang sangat bagus trimakasih,5,1,barang bagus trimakasih
395,Kurang puas,Barang yg dikirim tidak seperti yang di gambar,2,0,barang kirim gambar
396,Barangnya tidak sesuai di gambar,Barang yg sampe Cruzer yg biasa tidak sesuai di gambar tapi size-nya 64GB,4,1,barang cruzer sesuai gambar size nya gb
400,Pesanan Flashdisk,Knpa prosesnya lama? Apa gagal atau sya harus pesan lagi,2,0,proses gagal pesan
401,Barang tidak sampai,Barang saya ko gaada ya? Padahal saya ngasih alamatnya bener dan saya cek di situs jnenya alamat tujuannya kok salah? Mohon diperiksa kembali.. saya beli barang bebarengan dengan yang lain yg lainnya udh sampai tapi beli di sini gaada barangnya sampai sekarang..,1,0,barang ko ya alamat bener cek situs jnenya alamat tuju salah mohon periksa beli barang bebarengan beli barang
404,Barang CACAT!!!,Tidak bisa berfungsi menyimpan data,1,0,fungsi simpan data
405,Kecewa,"Barang tidak pernah sampai yg hitam,yg putih ga bisa dipake",1,0,barang hitam putih pakai
406,Kecewa,"Pengiriman lama, warna yang dateng putih bukan hitam",1,0,kirim warna putih hitam
409,KECEWA SANGAT KECEWA,"KRN PESANAN TDK SESUAI DENGAN KIRIMANNYA ,DR WARNA SAJA SAYA PESAN HITAM DIKIRM PUTIH DAN TIDAK BISA DIPAKAI DI LABTOP ANAK SAYA . SEHARUSNYA TIDAH SEPERTI ITU YAH",1,0,pesan sesuai kirim warna pesan hitam dikirm putih pakai labtop anak tidah yah
411,Barang rusak tdk bisa dgunakan,"Flashdisk saat dicopy file yg kebaca setengah doang,  ud mana beli 2, saya tertipu pantes g garansi, hati hati untuk yg mau beli",1,0,flashdisk dicopy file baca beli tipu garansi hati hati beli
412,"Bukan barang asli, produk abal-abal.","Ketika barang datang, masih di luar kota. 2 minggubkemudian baru cek barang. Dari awal muncul pertanyaan karena di pembungkusnya sendiri tulisannya toshiba kapasitas 8 GB, sedangkan di Flashdisk memang tertulis 64 GB. Setelah dicoba untuk kopi file, ternyata banyak yang failed. Dan yang berhasil dikopi ternyata juga tidak dapat dibuka. Sepertinya ini hanyalah produk gagal buatan OEM yang dibuat asal-asalan untuk dijual murah. Dan pihak toko terlanjur membeli dalam jumlah banyak kemudian berusaha menjual dengan segala cara.",1,0,barang kota minggubkemudian cek barang muncul bungkus tulis toshiba kapasitas gb flashdisk tulis gb coba kopi file gagal hasil kopi buka produk gagal buat oem asal jual murah toko lanjur beli usaha jual
415,Kurang baik,Barangnya lama sekali,1,0,barang
419,produk tidak sesuai gambar,"produk jauh dari yang diharapkan, sangat kecewa.",1,0,produk harap kecewa
424,bagus,"Barang diterima cepat, seller n lazada pelayanan bagus.. kemasan rapi kasih plastik tebal lagi, good.. tvnya cakep sesuai gambar n speknya, display cukuplah sesuai.. sempat ada baut casing lepas dikencangkan ternyata bisa,,  recomended buat yang nyari.. :)",5,1,barang terima cepat jual n lazada layan bagus kemas rapi kasih plastik tebal good tvnya cakep sesuai gambar n speknya display sesuai baut casing lepas kencang recomended nyari
426,Empat Bintang,Ini tv jg bs jadi monitor pc kan?,4,1,televisi monitor pc
427,Boleh kredit bang,Boleh kredit bang,5,1,kredit bang
428,JOSS GANDOS,1 HARI ORDER BESOK LANGSUNG SAMPAI FAST RESPON FAST SELLER,5,1,order besok langsung fast respon fast jual
429,MANTAP GAN,biar bintang yang berbicara,5,1,biar bintang bicara
430,Kwalitas super,bagus barangnya⭐⭐⭐⭐⭐,5,1,bagus barang
431,WD My passport 1TB,Mantab.... Reseller nya... Pengiriman cepat dan pakingan ok... Thank's... Reseller dan lazada... Sukses selalu.... Buat reseller dan lazada....,5,1,mantap reseller nya kirim cepat paking ok thank s reseller lazada sukses reseller lazada
434,"packing dan barangnya Ok, namun bonus pouch kekecilan","packing dan barangnya Ok, namun bonus pouch ukurannya terlalu kecil untuk tempat hardisk nya",5,1,packing barang ok bonus pouch ukur hardisk nya
439,Remote ada tombol yang tidak fungsi,"Pengiriman cepat. Kualitas gambar bagus, terutama kualitas suaranya oke. DVB T2 berfungsi baik. Cuma remote ada yg error. Tombol source tidak fungsi, jd kalau mau ganti ke usb, hdmi atau lainnya mesti pencet tombol fisik di tvnya. Sudah minta ganti ke seller, malah disuruh contact Aquanya. Kata Aqua kalau remote rusak dan baru beli bisa minta ganti ke tokonya. Ribet deh dipingpong...😤",2,0,kirim cepat kualitas gambar bagus kualitas suara oke dvb t fungsi remote error tombol source fungsi ganti usb hdmi mesti pencet tombol fisik tvnya ganti jual suruh kontak aquanya aqua remote rusak beli ganti toko ribet deh pingpong
441,Tanya dulu,Ini layar sentuh bukan yah?,3,0,layar sentuh yah
442,Komplen,Saya pesan uang sdah d transfer tapi barng tdk sampai,1,0,pesan uang d transfer barng
443,Di order ya Gan/sist.,"Bagi Yang Minat Order/Pesan Barang Kami,Silahkan Add WhatsApp/WA.085200343400..Langsung Dari Reseller Toko..Terimah Kasih.",5,1,minat order pesan barang silah add whatsapp wa langsung reseller toko terimah kasih
444,Lima Bintang,"Bagi Yang Minat Order/Pesan Barang Kami,Silahkan Add WhatsApp/WA.085200343400..Langsung Dari Reseller Toko..Terimah Kasih.",5,1,minat order pesan barang silah add whatsapp wa langsung reseller toko terimah kasih
445,Lima Bintang,"Hi. Sist/Gan, Stocknya.. Masih Ready.? INFORMASI PRODUK KAMI.! Silahkan chat +add: WhatsApp : 0852-5468-9727 √◎ Respon cepat, Aman & Terpercaya. √◎ Pengiriman VIA : JNE & TIKI. ,?SELLER Resmi LAZADA.! Terima Kasih.",5,1,hi sist juragan stocknya ready informasi produk silah chat add whatsapp respon cepat aman percaya kirim via jne tik jual resmi lazada terima kasih
446,Lima Bintang,"Untuk info buat pelanggan setia kami di karenakan lazada slow respon cepat aman dan terpercaya,kami buka orderan pemesanan beli 1 garatis 1 melalui via whatsapp/wa:085250720044",5,1,informasi langgan setia karena lazada santai respon cepat aman percaya buka order mesan beli garatis via whatsapp wa
447,Lima Bintang,"Bagi Yang Minat Order/Pesan Barang Kami,Silahkan Add WhatsApp/WA.085200343400..Langsung Dari Reseller Toko..Terimah Kasih.",5,1,minat order pesan barang silah add whatsapp wa langsung reseller toko terimah kasih
448,Lima Bintang,"Bagi Yang Minat Order/Pesan Barang Kami, Untuk Lebih Memastikan Silahkan Add WhatsApp/WA 085200343400..Langsung Dari Reseller Toko..Terimah Kasih.",5,1,minat order pesan barang silah add whatsapp wa langsung reseller toko terimah kasih
449,Lima Bintang,"Bagi Yang Minat Order/Pesan Barang Kami, Untuk Lebih Memastikan Silahkan Add WhatsApp/WA 085200343400..Langsung Dari Reseller Toko..Terimah Kasih.",5,1,minat order pesan barang silah add whatsapp wa langsung reseller toko terimah kasih
450,Lima Bintang,"Bagi Yang Minat Order/Pesan Barang Kami, Untuk Lebih Memastikan Silahkan Add WhatsApp/WA 085200343400..Langsung Dari Reseller Toko..Terimah Kasih.",5,1,minat order pesan barang silah add whatsapp wa langsung reseller toko terimah kasih
451,Lima Bintang,"Bagi Yang Minat Order/Pesan Barang Kami, Untuk Lebih Memastikan Silahkan Add WhatsApp/WA 085200343400..Langsung Dari Reseller Toko..Terimah Kasih.",5,1,minat order pesan barang silah add whatsapp wa langsung reseller toko terimah kasih
452,Klu cicilan,Klu cicilan gmn cranya yah,1,0,cicil cranya yah
453,Bisa kredit?,Saya dari Sumba Timur-Waingapu...,4,1,sumba timur waingapu
454,Cara cicilan nya,Cara.. Kredit nya bagaimana,5,1,kredit nya
455,Bisa  di cicil gk,Bisa di cicil gak,3,0,cicil
456,Bagussa,Laptop nya bagus,5,1,laptop nya bagus
458,Kesal,Tidak bisa di kurangi ya biar jadi 1.000000,1,0,kurang ya biar
459,Layar,Ini berapa inci ya layarnya,3,0,inci ya layar
460,?,Ini bayar di tempat apa tidak?,1,0,bayar
461,Bayar di tempat bisa?,Bayar ditempat?,3,0,bayar tempat
462,Mau cicil,Caranya gmn ya,1,0,ya
463,https://shopee.co.id/griyamainan/43877577/,Rizi,4,1,rizi
465,kecewa..,"Ditulis khusus jabodetabek,tp tersedia diwilyah lampung... dibeli tp dicancel krn diluar daerah. Klo gk bisa harusnya dtulis tdk tersedia diwil.anda..",1,0,tulis khusus jabodetabek sedia diwilyah lampung beli dicancel luar daerah dtulis sedia diwil
466,Mau keredit,Gmana caranya klw mau ikut kredit di lazada...??,3,0,gmana kredit lazada
467,Blitar,Bisa kiri. Ke kota blitar tidak?!,1,0,kiri kota blitar
468,Klw d kirim k karawang bisa gak,Klw.di kirim k karawang bisa gak?,2,0,kirim k karawang
469,Dua Bintang,Gambarnya tidak keliatan,2,0,gambar
483,"tv led sharp 24""","Barang cukup memuaskan, seller responsif,packing aman karena dari kayu yah.. tpi pengirimannya agak sedikit lama, tpi its ok, yang penting barang sudah sampai",5,1,barang muas jual responsif packing aman kayu yah kirim its ok barang
484,SANGAT MEMUASKAN!!!,"Packing rapih dan aman banget barangnya, pengiriman cepat (hari ini order, besok langsung dateng). Pokonya seller recommended, dari segi harga juga bersaing. :) ;) :D",5,1,packing rapih aman banget barang kirim cepat order besok langsung poko jual recommended segi harga saing d
493,produk bagus,"puas sama.produknya, bagus n berkualitas",5,1,puas produk bagus n kualitas
501,led sharp,bgs...,5,1,bgs
507,Sangat puas,Aku puas banget sama layanan di Lazada. Pengirimannya cepat. Barangnya juga gak lecet sedikit pun. Terimakasih Lazada....,5,1,puas banget layan lazada kirim cepat barang lecet terimakasih lazada
508,Abs,Min RAM nya emang segitu?,5,1,min ram nya emang segitu
510,MANTAP GAN,biar bintang yang berbicara,5,1,biar bintang bicara
512,Value for Money,"WD My Passport 4TB, harga paling murah dibanding tempat lain (sudah cek online dan offline), barang bagus (sudah di cek total kapasitas 3.64TB), original (bisa di-register ke web WD nya untuk garansi 3 thn), diberi beberapa software utility free diantaranya WD Security (untuk protect HD agar tdk bisa dibuka orang lain) dan ada bonus pouch, lumayan buat tempat HD nya. :)",5,1,wd my passport tb harga murah banding cek online offline barang bagus cek total kapasitas tb original register situs wd nya garansi software utility free wd aman protect hd buka orang bonus pouch lumayan hd nya
514,Pesanan sesuai harapan,"Order Mi Notebook Air Gold 12.5 inch sampai sesuai harapan. Barangnya asli, packagingnya aman, bagus, sellernya informatif, cepat dikirimnya dan sudah ready terinstall dengan windows 10 english version. Terima kasih banyak seller :)",5,1,order mi notebook air gold inch sesuai harap barang asli packagingnya aman bagus sellernya informatif cepat kirim ready terinstall windows english version terima kasih jual
515,"Pengiriman Sangat Cepat, Barang Sesuai Pesanan","Pengiriman barang ternyata sangat cepat. Hari ke-2 barang sudah diterima dalam keadaan baik. Packing rapih dan setelah dicek, laptop bekerja sesuai harapan. Terima kasih atas layanannya yang sangat baik",5,1,kirim barang cepat barang terima packing rapih cek laptop sesuai harap terima kasih layan
516,Laptop dengan kualitas mantab...,"Pengirimannya benar-benar top, packingnya rapi dan aman. Barangnya oke..Windowsnya udah pakai Win 10 English version... Top deh...",5,1,kirim top packingnya rapi aman barang oke windowsnya pakai menang english version top deh
517,Powerfull Laptop,Lebih keren dari perkiraan awal.. Windows 10 sudah dikonfersi ke bahasa inggris.. Mantab..,5,1,keren kira windows dikonfersi bahasa inggris mantap
520,Gk dapat di kirim,Gan kok gak dapat di kirm ke NAD. Disitu tertulis barang ini tidak dapat di kirim ke lokasi anda,5,1,juragan kirm nad situ tulis barang kirim lokasi
521,Lima Bintang,"Mbak/ mas kabari ya barang kalau udah ready stok, saya rencana mau order. Mkasih",5,1,mbak mas kabar ya barang ready stok rencana order terimakasih
522,Excellent!,Pelayanannya baik,5,1,layan
525,Pengiriman CEPAT,Pengiriman cepat barang di terima dengan baik dan lengkap langsung coba... dapat bonus USB LED dll. Recommended Seller,5,1,kirim cepat barang terima lengkap langsung coba bonus usb led lain recommended jual
531,Lumayan,"Saya kira antivirusnya ada kasetnya, eh ternyata cuma dikasih nomor serial disuruh download sendiri. Overall bagus lah, pengiriman cepat cuma 1 hari datang",4,1,antivirusnya kaset eh kasih nomor serial suruh download overall bagus kirim cepat
532,ext hardisk,hrg bersaing bagus,5,1,harga saing bagus
533,oke,"bagus koq. cm gak pake antivirusnya aja, ribet sih :D",5,1,bagus koq cm pakai antivirusnya ribet sih d
